pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[17-1_vs_46-1]	15.088622999999998	0	1.0	0.0	2	15.088622999999998	unrelated	unrelated	UN	UN	UN
[17-1_vs_46-2]	28.293758	0	1.0	0.0	3	28.293758	unrelated	unrelated		UN	UN
[17-1_vs_47-1]	7.669731	0	1.0	0.0	1	7.669731	unrelated	unrelated	UN	UN	UN
[17-1_vs_47-2]	7.669731	0	1.0	0.0	1	7.669731	unrelated	unrelated		UN	UN
[17-1_vs_48-1]	21.102932	0	1.0	0.0	2	21.102932	unrelated	unrelated	UN	UN	UN
[17-1_vs_48-2]	22.286037	0	1.0	0.0	2	22.286037	unrelated	unrelated		UN	UN
[17-1_vs_49-1]	23.166158	0	1.0	0.0	3	23.166158	unrelated	unrelated	UN	UN	UN
[17-1_vs_49-2]	21.39084	0	1.0	0.0	3	21.39084	unrelated	unrelated		UN	UN
[17-2_vs_18-1]	1140.738551	0	1.0	0.0	74	1140.738551	unrelated	unrelated		UN	UN
[17-2_vs_18-2]	1143.285822	0	1.0	0.0	74	1143.285822	unrelated	unrelated		UN	UN
[17-2_vs_19-1]	164.568875	0	1.0	0.0	14	164.568875	unrelated	unrelated		UN	UN
[17-2_vs_19-2]	162.646431	0	1.0	0.0	14	162.646431	unrelated	unrelated		UN	UN
[17-2_vs_20-1]	147.542483	0	1.0	0.0	12	147.542483	unrelated	unrelated		UN	UN
[17-2_vs_20-2]	147.542483	0	1.0	0.0	12	147.542483	unrelated	unrelated		UN	UN
[17-2_vs_21-1]	122.302192	0	1.0	0.0	11	122.302192	unrelated	unrelated		UN	UN
[17-2_vs_21-2]	118.365324	0	1.0	0.0	10	118.365324	unrelated	unrelated		UN	UN
[17-2_vs_22-1]	120.17358	0	1.0	0.0	9	120.17358	unrelated	unrelated		UN	UN
[17-2_vs_22-2]	124.236655	0	1.0	0.0	10	124.236655	unrelated	unrelated		UN	UN
[17-2_vs_22-593-2-saliva]	6.608173	0	1.0	0.0	1	6.608173	unrelated	unrelated		UN	UN
[17-2_vs_22-650-1-blood]	8.107826	0	1.0	0.0	1	8.107826	unrelated	unrelated		UN	UN
[17-2_vs_22-650-2-blood]	27.829586	0	1.0	0.0	4	27.829586	unrelated	unrelated		UN	UN
[17-2_vs_23-1]	142.70949000000002	0	1.0	0.0	14	142.70949000000002	unrelated	unrelated		UN	UN
[17-2_vs_23-2]	169.983351	0	1.0	0.0	18	169.983351	unrelated	unrelated		UN	UN
[17-2_vs_24-1]	88.36582	0	1.0	0.0	9	88.36582	unrelated	unrelated		UN	UN
[17-2_vs_24-2]	81.77946	0	1.0	0.0	9	81.77946	unrelated	unrelated		UN	UN
[17-2_vs_25-1]	153.364677	0	1.0	0.0	13	153.364677	unrelated	unrelated		UN	UN
[17-2_vs_25-2]	147.01609	0	1.0	0.0	12	147.01609	unrelated	unrelated		UN	UN
[17-2_vs_26-1]	86.129755	0	1.0	0.0	6	86.129755	unrelated	unrelated		UN	UN
[17-2_vs_27-1]	98.744293	0	1.0	0.0	11	98.744293	unrelated	unrelated		UN	UN
[17-2_vs_28-1]	38.958805	0	1.0	0.0	4	38.958805	unrelated	unrelated		UN	UN
[17-2_vs_29-1]	14.1513	0	1.0	0.0	2	14.1513	unrelated	unrelated		UN	UN
[17-2_vs_29-2]	14.3652	0	1.0	0.0	2	14.3652	unrelated	unrelated		UN	UN
[17-2_vs_30-1]	35.710499	0	1.0	0.0	2	35.710499	unrelated	unrelated		UN	UN
[17-2_vs_30-2]	35.710499	0	1.0	0.0	2	35.710499	unrelated	unrelated		UN	UN
[17-2_vs_31-1]	14.703545	0	1.0	0.0	2	14.703545	unrelated	unrelated		UN	UN
[17-2_vs_31-2]	14.703545	0	1.0	0.0	2	14.703545	unrelated	unrelated		UN	UN
[17-2_vs_32-2]	9.556484	0	1.0	0.0	1	9.556484	unrelated	unrelated		UN	UN
[17-2_vs_33-1]	22.633801	0	1.0	0.0	2	22.633801	unrelated	unrelated		UN	UN
[17-2_vs_33-2]	22.100476	0	1.0	0.0	2	22.100476	unrelated	unrelated		UN	UN
[17-2_vs_34-1]	19.449466	0	1.0	0.0	3	19.449466	unrelated	unrelated		UN	UN
[17-2_vs_34-2]	31.643012	0	1.0	0.0	4	31.643012	unrelated	unrelated		UN	UN
[17-2_vs_35-2]	49.905083000000005	0	1.0	0.0	3	49.905083000000005	unrelated	unrelated		UN	UN
[17-2_vs_36-2]	22.858689	0	1.0	0.0	3	22.858689	unrelated	unrelated		UN	UN
[17-2_vs_37-2]	8.287243	0	1.0	0.0	1	8.287243	unrelated	unrelated		UN	UN
[17-2_vs_38-1]	10.550343	0	1.0	0.0	1	10.550343	unrelated	unrelated		UN	UN
[17-2_vs_38-2]	10.550343	0	1.0	0.0	1	10.550343	unrelated	unrelated		UN	UN
[17-2_vs_39-2]	8.320927	0	1.0	0.0	1	8.320927	unrelated	unrelated		UN	UN
[17-2_vs_40-1]	30.6801	0	1.0	0.0	3	30.6801	unrelated	unrelated		UN	UN
[17-2_vs_41-1]	26.340004	0	1.0	0.0	3	26.340004	unrelated	unrelated		UN	UN
[17-2_vs_41-2]	27.367058	0	1.0	0.0	3	27.367058	unrelated	unrelated		UN	UN
[17-2_vs_42-1]	23.907395	0	1.0	0.0	3	23.907395	unrelated	unrelated		UN	UN
[17-2_vs_42-2]	15.862046	0	1.0	0.0	2	15.862046	unrelated	unrelated		UN	UN
